School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher
'ACADEMY ENDEAVOUR ELEMENTARY SCHOOL',7,9,9,9,9,9,7,7,7,7,629,0.00159,0.034976,0.030207,0.141494,0.736089,0.004769,0.050874,0.1447,0.16435,0.80421,0.576,0.584
'ACADEMY INTERNATIONAL ELEMENTARY SCHOOL',12,12,12,10,11,12,11,12,11,7,728,0.001374,0.10989,0.04533,0.103022,0.690934,0.006868,0.042582,0.0832,0.16435,0.80421,0.576,0.584
'AIR ACADEMY HIGH SCHOOL',9,10,9,9,9,10,6,5,6,5,1388,0.004323,0.027378,0.0317,0.101585,0.775937,0.007925,0.051153,0.0879,0.220363,0.698113,0.559,0.396
'ANTELOPE TRAILS ELEMENTARY SCHOOL',10,10,10,9,10,9,9,6,9,9,537,0.001862,0.022346,0.009311,0.117318,0.817505,0.001862,0.029795,0.0845,0.082265,0.83179,0.66,0.686
'ASPEN VALLEY HIGH SCHOOL',7,6,9,3,6,3,12,12,10,12,99,0.010101,0.020202,0.020202,0.161616,0.747475,0,0.040404,0.1818,0.16435,0.80421,0.576,0.584
'CHALLENGER MIDDLE SCHOOL',8,10,9,9,9,12,6,7,6,7,720,0.002778,0.026389,0.011111,0.104167,0.813889,0.002778,0.038889,0.0861,0.16435,0.80421,0.576,0.584
'CHINOOK TRAIL ELEMENTARY SCHOOL',13,12,12,10,12,12,12,10,12,9,483,0.006211,0.062112,0.016563,0.10352,0.728778,0.004141,0.078675,0.0435,0.074449,0.804114,0.611,0.59
'DISCOVERY CANYON CAMPUS SCHOOL',6,10,9,11,10,9,5,1,6,6,2296,0.004355,0.031359,0.024826,0.101045,0.787456,0.00392,0.047038,0.0771,0.082265,0.83179,0.66,0.686
'DISCOVERY CANYON CAMPUS SCHOOL',9,10,9,10,10,10,7,6,6,7,2296,0.004355,0.031359,0.024826,0.101045,0.787456,0.00392,0.047038,0.0771,0.082265,0.83179,0.66,0.686
'DISCOVERY CANYON CAMPUS SCHOOL',9,10,10,10,10,10,6,6,6,6,2296,0.004355,0.031359,0.024826,0.101045,0.787456,0.00392,0.047038,0.0771,0.082265,0.83179,0.66,0.686
'DOUGLASS VALLEY ELEMENTARY SCHOOL',6,7,8,6,8,9,5,6,3,5,383,0.007833,0.007833,0.065274,0.164491,0.639687,0.007833,0.10705,0.3055,0.220363,0.698113,0.559,0.396
'EAGLEVIEW MIDDLE SCHOOL',9,9,9,9,9,9,7,6,7,8,937,0.007471,0.025614,0.037353,0.127001,0.748132,0.003202,0.051227,0.1526,0.18777,0.788041,0.573,0.649
'EDITH WOLFORD ELEMENTARY SCHOOL',10,9,9,7,9,9,10,6,10,10,353,0.008499,0.005666,0.008499,0.09915,0.815864,0.002833,0.05949,0.2048,0.087449,0.744983,0.607,0.522
'EXPLORER ELEMENTARY SCHOOL',6,9,9,9,10,9,3,6,1,4,522,0.001916,0.01341,0.02682,0.145594,0.745211,0.001916,0.065134,0.1492,0.16435,0.80421,0.576,0.584
